timestamp,vL1_Alarm,vL1_Current,vL1_Energy,vL1_Frequency,vL1_Power,vL1_PowerFactor,vL1_Voltage,Wh_diff,(Wh/W)_min,raw_cum_min,cum_(Wh/W)_min
15/03/2024 08:44,0,0,2,49900,0,0,223200,0,0,0,0
15/03/2024 08:47,0,0,2,49900,0,0,223200,0,0,0,0
15/03/2024 08:49,0,0,2,50000,0,0,223200,0,0,0,0
15/03/2024 08:50,0,0,2,50000,0,0,223100,0,0,0,0
15/03/2024 08:52,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 08:53,0,0,2,49900,0,0,223200,0,0,0,0
15/03/2024 08:55,0,0,2,49900,0,0,223200,0,0,0,0
15/03/2024 08:56,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 08:58,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 08:59,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:01,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:02,0,0,2,49900,0,0,223200,0,0,0,0
15/03/2024 09:04,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:05,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:07,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:08,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:10,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:11,0,0,2,50000,0,0,223100,0,0,0,0
15/03/2024 09:13,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:14,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:16,0,0,2,50000,0,0,223100,0,0,0,0
15/03/2024 09:17,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:19,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:20,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:22,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:23,0,0,2,50000,0,0,223100,0,0,0,0
15/03/2024 09:25,0,0,2,50000,0,0,223100,0,0,0,0
15/03/2024 09:26,0,0,2,50000,0,0,223100,0,0,0,0
15/03/2024 09:28,0,0,2,49900,0,0,223100,0,0,0,0
15/03/2024 09:29,0,0,2,49900,0,0,223100,0,0,0,0
