timestamp,vL1_Alarm,vL1_Current,vL1_Energy,vL1_Frequency,vL1_Power,vL1_PowerFactor,vL1_Voltage,Wh_diff,(Wh/W)_min,raw_cum_min,cum_(Wh/W)_min
11/03/2024 23:00,0,0,2,49900,0,0,223200,0,0,0,0
11/03/2024 23:01,0,0,2,49900,0,0,223200,0,0,0,0
11/03/2024 23:03,0,0,2,49900,0,0,223300,0,0,0,0
11/03/2024 23:04,0,0,2,50000,0,0,223300,0,0,0,0
13/03/2024 13:55,0,0,2,49900,0,0,223300,0,0,0,0
13/03/2024 13:57,0,0,2,49900,0,0,223300,0,0,0,0
13/03/2024 13:58,0,0,2,49900,0,0,223300,0,0,0,0
13/03/2024 14:00,0,0,2,49900,0,0,223300,0,0,0,0
13/03/2024 14:02,0,0,2,49900,0,0,223200,0,0,0,0
28/07/2024 13:19,0,40,400,49900,5,600,222400,398,4776,4776,0
28/07/2024 13:20,0,39,400,49900,5,590,222300,0,0,4776,0
28/07/2024 16:05,0,41,400,49900,5,580,223900,0,0,4776,0
28/07/2024 16:28,0,39,400,50000,5,590,221700,0,0,4776,0
28/07/2024 16:29,0,39,400,49900,5,590,221700,0,0,4776,0
28/07/2024 16:31,0,39,400,49900,5,580,222000,0,0,4776,0
28/07/2024 16:32,0,39,400,49900,5,580,222000,0,0,4776,0
29/07/2024 05:14,0,41,400,49900,5,570,223600,0,0,4776,0
29/07/2024 05:16,0,41,400,49900,5,560,223600,0,0,4776,0
29/07/2024 05:17,0,40,401,50000,5,570,223500,1,12,4788,0
29/07/2024 18:17,0,41,401,49900,5,580,223500,0,0,4788,0
29/07/2024 18:19,0,41,401,49900,5,570,223400,0,0,4788,0
29/07/2024 18:20,0,41,401,50000,5,560,223400,0,0,4788,0
29/07/2024 18:22,0,40,401,50000,5,570,223400,0,0,4788,0
29/07/2024 18:23,0,40,401,50000,5,560,223400,0,0,4788,0
29/07/2024 18:25,0,40,401,49900,5,560,223400,0,0,4788,0
29/07/2024 18:26,0,40,402,49900,5,570,223400,1,12,4800,0
29/07/2024 18:28,0,40,402,49900,5,560,223300,0,0,4800,0
29/07/2024 18:29,0,40,402,50000,5,570,223300,0,0,4800,0
29/07/2024 18:31,0,40,402,49900,5,570,223300,0,0,4800,0
29/07/2024 18:32,0,40,402,49900,5,560,223300,0,0,4800,0
