timestamp,vL1_Alarm,vL1_Current,vL1_Energy,vL1_Frequency,vL1_Power,vL1_PowerFactor,vL1_Voltage,Wh_diff,(Wh/W)_min,raw_cum_min,cum_(Wh/W)_min
13/03/2024 15:06,0,0,149,49900,0,0,223600,0,0,0,0
13/03/2024 15:22,0,0,222,49900,0,0,223600,73,0,0,0
13/03/2024 15:23,0,0,222,49900,0,0,223600,0,0,0,0
13/03/2024 15:25,0,0,222,49900,0,0,223600,0,0,0,0
07/07/2024 05:12,0,41,2402,50000,5,580,223400,2180,26160,26160,0
07/07/2024 05:14,0,41,2402,50000,5,560,222300,0,0,26160,0
07/07/2024 05:36,0,41,2402,49900,5,570,222000,0,0,26160,0
07/07/2024 06:00,0,0,2402,49900,0,0,221900,0,0,26160,0
07/07/2024 06:03,0,41,2402,49900,5,580,223500,0,0,26160,0
07/07/2024 06:05,0,40,2402,50000,5,570,223500,0,0,26160,0
07/07/2024 06:06,0,40,2403,49900,5,570,223500,1,12,26172,0
07/07/2024 06:08,0,41,2403,49900,5,560,222300,0,0,26172,0
07/07/2024 06:09,0,41,2403,49900,5,550,222300,0,0,26172,0
07/07/2024 06:11,0,40,2403,49900,5,570,222300,0,0,26172,0
07/07/2024 06:30,0,0,2403,49900,0,0,221900,0,0,26172,0
07/07/2024 07:33,0,0,2403,49900,0,0,222000,0,0,26172,0
07/07/2024 07:35,0,0,2403,49900,0,0,221900,0,0,26172,0
07/07/2024 07:36,0,0,2403,50000,0,0,221900,0,0,26172,0
07/07/2024 07:38,0,0,2403,49900,0,0,221900,0,0,26172,0
07/07/2024 07:39,0,0,2403,49900,0,0,221900,0,0,26172,0
07/07/2024 09:15,0,41,2403,49900,5,570,223300,0,0,26172,0
07/07/2024 09:17,0,40,2403,50000,5,570,223300,0,0,26172,0
07/07/2024 09:23,0,40,2403,49900,5,580,223300,0,0,26172,0
07/07/2024 09:24,0,40,2403,50000,5,570,223300,0,0,26172,0
07/07/2024 09:26,0,40,2403,49900,5,570,223300,0,0,26172,0
07/07/2024 09:36,0,41,2403,49900,5,570,223400,0,0,26172,0
07/07/2024 09:38,0,40,2404,49900,5,570,223300,1,12,26184,0
07/07/2024 10:02,0,41,2404,49900,5,570,223400,0,0,26184,0
07/07/2024 10:03,0,40,2404,49900,5,580,223400,0,0,26184,0
07/07/2024 10:05,0,40,2404,49900,5,570,223400,0,0,26184,0
07/07/2024 10:06,0,40,2404,49900,5,560,223400,0,0,26184,0
07/07/2024 10:08,0,40,2404,49900,5,560,223400,0,0,26184,0
07/07/2024 10:09,0,40,2404,49900,5,560,222000,0,0,26184,0
07/07/2024 10:11,0,40,2404,49900,5,560,222000,0,0,26184,0
07/07/2024 10:12,0,40,2405,49900,5,560,222200,1,12,26196,0
07/07/2024 10:14,0,40,2405,49900,5,560,222200,0,0,26196,0
07/07/2024 10:15,0,40,2405,49900,5,560,222200,0,0,26196,0
07/07/2024 10:17,0,40,2405,49900,5,560,222200,0,0,26196,0
07/07/2024 10:18,0,40,2405,50000,5,560,222200,0,0,26196,0
07/07/2024 10:20,0,40,2405,49900,5,560,222200,0,0,26196,0
07/07/2024 10:21,0,40,2405,49900,5,560,222200,0,0,26196,0
07/07/2024 10:23,0,40,2405,49900,5,560,223300,0,0,26196,0
07/07/2024 10:24,0,40,2405,50000,5,560,223300,0,0,26196,0
07/07/2024 10:26,0,40,2406,50000,5,560,222300,1,12,26208,0
07/07/2024 10:27,0,40,2406,49900,5,560,222400,0,0,26208,0
07/07/2024 10:29,0,40,2406,49900,5,560,222300,0,0,26208,0
07/07/2024 10:30,0,40,2406,50000,5,560,222400,0,0,26208,0
07/07/2024 10:32,0,40,2406,49900,5,560,222200,0,0,26208,0
07/07/2024 10:33,0,40,2406,49900,5,560,222200,0,0,26208,0
07/07/2024 10:35,0,40,2406,49900,5,560,222200,0,0,26208,0
07/07/2024 10:36,0,40,2407,49900,5,560,223300,1,12,26220,0
07/07/2024 10:38,0,40,2407,49900,5,560,223300,0,0,26220,0
07/07/2024 10:39,0,40,2407,50000,5,560,223300,0,0,26220,0
07/07/2024 10:41,0,40,2407,49900,5,560,223300,0,0,26220,0
07/07/2024 10:42,0,40,2407,49900,5,560,223300,0,0,26220,0
07/07/2024 10:44,0,40,2407,50000,5,560,221900,0,0,26220,0
07/07/2024 10:45,0,40,2407,49900,5,560,222000,0,0,26220,0
07/07/2024 10:47,0,40,2407,49900,5,560,222000,0,0,26220,0
07/07/2024 10:48,0,40,2407,50000,5,560,222000,0,0,26220,0
07/07/2024 10:50,0,41,2408,49900,5,550,222000,1,12,26232,0
07/07/2024 10:51,0,40,2408,50000,5,560,222000,0,0,26232,0
07/07/2024 10:53,0,40,2408,49900,5,560,222000,0,0,26232,0
07/07/2024 10:54,0,40,2408,50000,5,560,222000,0,0,26232,0
07/07/2024 10:56,0,40,2408,49900,5,560,222000,0,0,26232,0
07/07/2024 10:57,0,40,2408,49900,5,560,222000,0,0,26232,0
07/07/2024 10:59,0,40,2408,50000,5,560,222000,0,0,26232,0
07/07/2024 11:00,0,40,2409,49900,5,560,222000,1,12,26244,0
07/07/2024 11:02,0,40,2409,49900,5,560,222000,0,0,26244,0
07/07/2024 11:03,0,40,2409,49900,5,560,223300,0,0,26244,0
07/07/2024 11:05,0,40,2409,49900,5,560,223300,0,0,26244,0
07/07/2024 11:06,0,40,2409,49900,5,560,223300,0,0,26244,0
07/07/2024 11:08,0,40,2409,49900,5,560,223300,0,0,26244,0
