timestamp,vL1_Alarm,vL1_Current,vL1_Energy,vL1_Frequency,vL1_Power,vL1_PowerFactor,vL1_Voltage,Wh_diff,(Wh/W)_min,raw_cum_min,cum_(Wh/W)_min
19/03/2024 08:52,0,41,1,50000,5,570,223200,0,0,0,0
19/03/2024 08:54,0,41,2,49900,5,570,223200,1,12,12,0
19/03/2024 08:55,0,41,2,50000,5,560,223200,0,0,12,0
19/03/2024 08:57,0,41,2,49900,5,560,223200,0,0,12,0
19/03/2024 08:57,0,0,1,49900,0,0,223100,0,0,12,0
19/03/2024 08:58,0,41,2,49900,5,560,223300,1,12,24,0
19/03/2024 08:58,0,0,1,49900,0,0,223000,0,0,24,0
19/03/2024 09:00,0,41,2,49900,5,550,223300,1,12,36,0
19/03/2024 09:01,0,41,2,49900,5,560,223300,0,0,36,0
19/03/2024 09:03,0,41,2,49900,5,560,223200,0,0,36,0
19/03/2024 09:04,0,41,2,49900,5,560,223200,0,0,36,0
19/03/2024 09:06,0,40,3,49900,5,560,223200,1,12,48,0
19/03/2024 09:07,0,40,3,49900,5,560,223200,0,0,48,0
19/03/2024 09:09,0,41,3,49900,5,560,223200,0,0,48,0
19/03/2024 09:10,0,40,3,50000,5,560,223200,0,0,48,0
19/03/2024 09:12,0,40,3,49900,5,570,223200,0,0,48,0
19/03/2024 09:13,0,40,3,49900,5,560,223200,0,0,48,0
19/03/2024 09:15,0,40,3,49900,5,560,223200,0,0,48,0
19/03/2024 09:16,0,40,3,49900,5,560,223200,0,0,48,0
19/03/2024 09:18,0,40,3,49900,5,560,223200,0,0,48,0
19/03/2024 09:19,0,40,4,49900,5,560,223200,1,12,60,0
19/03/2024 09:21,0,40,4,49900,5,560,223200,0,0,60,0
19/03/2024 09:22,0,41,4,49900,5,550,223200,0,0,60,0
19/03/2024 09:24,0,40,4,49900,5,560,223100,0,0,60,0
19/03/2024 09:25,0,39,4,50000,5,580,222200,0,0,60,0
19/03/2024 09:27,0,40,4,49900,5,560,222200,0,0,60,0
19/03/2024 09:28,0,40,4,49900,5,570,222200,0,0,60,0
19/03/2024 09:30,0,39,5,49900,5,580,222200,1,12,72,0
19/03/2024 09:31,0,39,5,49900,5,580,222000,0,0,72,0
19/03/2024 09:33,0,39,5,50000,5,580,222000,0,0,72,0
19/03/2024 09:34,0,40,5,49900,5,560,223100,0,0,72,0
